msgtype,time,raw
GPS,2026-03-31T16:15:10.2004759+03:00,"GPS;67414476;0;6;220528200;2412;10;1.21;-35.3632649;149.1652374;584.85;0.002;179.29031;0;0;1"
GPS,2026-03-31T16:15:10.4004079+03:00,"GPS;67614408;0;6;220528400;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8834;0;0;1"
GPS,2026-03-31T16:15:10.6003410+03:00,"GPS;67814341;0;6;220528600;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8834;0;0;1"
GPS,2026-03-31T16:15:10.8002740+03:00,"GPS;68014274;0;6;220528800;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.8834;0;0;1"
GPS,2026-03-31T16:15:11.0002069+03:00,"GPS;68214207;0;6;220529000;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.91522;0;0;1"
GPS,2026-03-31T16:15:11.2001400+03:00,"GPS;68414140;0;6;220529200;2412;10;1.21;-35.3632649;149.1652374;584.85;0;359.98593;0;0;1"
GPS,2026-03-31T16:15:11.4000720+03:00,"GPS;68614072;0;6;220529400;2412;10;1.21;-35.363265;149.1652374;584.9;0.36400002;180.41768;-1.001;0;1"
GPS,2026-03-31T16:15:11.6000050+03:00,"GPS;68814005;0;6;220529600;2412;10;1.21;-35.3632673;149.1652374;585.57;2.703;180.11336;-6.7630005;0;1"
GPS,2026-03-31T16:15:11.8009379+03:00,"GPS;69014938;0;6;220529800;2412;10;1.21;-35.3632762;149.1652374;587.98;7.5650005;180.12349;-17.731;0;1"
GPS,2026-03-31T16:15:12.0008699+03:00,"GPS;69214870;0;6;220530000;2412;10;1.21;-35.3632954;149.1652373;592.8;13.747001;180.1661;-30.398;0;1"
GPS,2026-03-31T16:15:12.2008030+03:00,"GPS;69414803;0;6;220530200;2412;10;1.21;-35.3633262;149.1652372;600.18;20.587002;180.17397;-43.328003;0;1"
GPS,2026-03-31T16:15:12.4007360+03:00,"GPS;69614736;0;6;220530400;2412;10;1.21;-35.3633695;149.1652371;610.13;27.642002;180.17441;-56.023003;0;1"
GPS,2026-03-31T16:15:12.6006689+03:00,"GPS;69814669;0;6;220530600;2412;10;1.21;-35.3634255;149.1652369;622.56;34.572002;180.17635;-68.065;0;1"
GPS,2026-03-31T16:15:12.8006020+03:00,"GPS;70014602;0;6;220530800;2412;10;1.21;-35.3634936;149.1652366;637.3;41.183002;180.17563;-79.11301;0;1"
GPS,2026-03-31T16:15:13.0005340+03:00,"GPS;70214534;0;6;220531000;2412;10;1.21;-35.363573;149.1652363;654.08;46.927002;180.17488;-88.244;0;1"
GPS,2026-03-31T16:15:13.2004670+03:00,"GPS;70414467;0;6;220531200;2412;10;1.21;-35.363661;149.165236;672.32;50.547;180.17496;-93.213005;0;1"
GPS,2026-03-31T16:15:13.4003999+03:00,"GPS;70614400;0;6;220531400;2412;10;1.21;-35.3637532;149.1652356;691.06;51.693;180.17502;-93.51501;0;1"
GPS,2026-03-31T16:15:13.6003330+03:00,"GPS;70814333;0;6;220531600;2412;10;1.21;-35.3638461;149.1652353;709.6;51.738003;180.17508;-91.774;0;1"
GPS,2026-03-31T16:15:13.8002660+03:00,"GPS;71014266;0;6;220531800;2412;10;1.21;-35.363939;149.1652349;727.76;51.672;180.17517;-89.828;0;1"
GPS,2026-03-31T16:15:14.0001980+03:00,"GPS;71214198;0;6;220532000;2412;10;1.21;-35.3640318;149.1652346;745.53;51.607002;180.1752;-87.882;0;1"
GPS,2026-03-31T16:15:14.2001309+03:00,"GPS;71414131;0;6;220532200;2412;10;1.21;-35.3641245;149.1652342;762.91;51.542004;180.17604;-85.936005;0;1"
GPS,2026-03-31T16:15:14.4000639+03:00,"GPS;71614064;0;6;220532400;2412;10;1.21;-35.364217;149.1652338;779.9;51.480003;180.17717;-83.991005;0;1"
GPS,2026-03-31T16:15:14.5999970+03:00,"GPS;71813997;0;6;220532600;2412;10;1.21;-35.3643095;149.1652335;796.5;51.418003;180.1768;-82.045006;0;1"
GPS,2026-03-31T16:15:14.8009290+03:00,"GPS;72014929;0;6;220532800;2412;10;1.21;-35.364402;149.1652332;812.76;51.356003;180.17493;-80.096;0;1"
GPS,2026-03-31T16:15:15.0008619+03:00,"GPS;72214862;0;6;220533000;2412;10;1.21;-35.3644944;149.1652328;828.62;51.295002;180.1734;-78.147;0;1"
GPS,2026-03-31T16:15:15.2007949+03:00,"GPS;72414795;0;6;220533200;2412;10;1.21;-35.3645865;149.1652325;844.06;51.235;180.173;-76.203;0;1"
GPS,2026-03-31T16:15:15.4007280+03:00,"GPS;72614728;0;6;220533400;2412;10;1.21;-35.3646785;149.1652322;859.1;51.177002;180.17354;-74.26;0;1"
GPS,2026-03-31T16:15:15.6006600+03:00,"GPS;72814660;0;6;220533600;2412;10;1.21;-35.3647704;149.1652318;873.76;51.121002;180.17433;-72.317;0;1"
GPS,2026-03-31T16:15:15.8005929+03:00,"GPS;73014593;0;6;220533800;2412;10;1.21;-35.3648622;149.1652315;888.02;51.066;180.17441;-70.373;0;1"
GPS,2026-03-31T16:15:16.0005259+03:00,"GPS;73214526;0;6;220534000;2412;10;1.21;-35.3649539;149.1652311;901.9;51.011;180.17416;-68.431;0;1"
GPS,2026-03-31T16:15:16.2004590+03:00,"GPS;73414459;0;6;220534200;2412;10;1.21;-35.3650455;149.1652308;915.4;50.955;180.17395;-66.489006;0;1"
GPS,2026-03-31T16:15:16.4003920+03:00,"GPS;73614392;0;6;220534400;2412;10;1.21;-35.365137;149.1652304;928.5;50.899002;180.17372;-64.549;0;1"
GPS,2026-03-31T16:15:16.6003239+03:00,"GPS;73814324;0;6;220534600;2412;10;1.21;-35.3652284;149.1652301;941.2;50.845;180.17348;-62.608;0;1"
GPS,2026-03-31T16:15:16.8002569+03:00,"GPS;74014257;0;6;220534800;2412;10;1.21;-35.3653197;149.1652298;953.54;50.793003;180.17328;-60.668003;0;1"
